cusip,name,indicator,type,issuedate,maturitydate,originalface,istbaelig
3618J73Q1,DE2607,C,SF,20241001,20540920,1153207,False
3618J73R9,DE2608,C,SF,20241001,20540920,1093735,False
3618J73S7,DE2609,C,SF,20241001,20540920,1052676,False
3618J73T5,DE2610,C,SF,20241001,20540920,1699013,False
3618J73V0,DE2612,C,SF,20241001,20540920,1340982,False
3618J73W8,DE2613,C,SF,20241001,20540920,1046377,False
3618J8FJ2,DE2869,C,ET,20241001,20640920,481309,False
3618J8FK9,DE2870,C,ET,20241001,20640820,407135,False
3618J8FM5,DE2872,C,SF,20241001,20541020,1357895,False
3618J8FN3,DE2873,C,SF,20241001,20541020,1527052,False
3618J8FP8,DE2874,C,SF,20241001,20541020,2006127,False
3618J8MC9,DE3055,C,SF,20241001,20541020,1391304,False
3618J8ME5,DE3057,C,ET,20241001,20640920,414793,False
3618J8MF2,DE3058,C,SF,20241001,20541020,1177646,False
3618J8M21,DE3077,C,SF,20241001,20541020,1756903,False
3618J8M54,DE3080,C,SF,20241001,20541020,2571298,False
3618J8NB0,DE3086,C,SF,20241001,20541020,1576411,False
3618J8NP9,DE3098,C,SF,20241001,20541020,1244148,False
3618J8NQ7,DE3099,C,SF,20241001,20541020,2091031,False
3618J85P9,DE3554,C,SF,20241001,20541020,1021076,False
3618J85R5,DE3556,C,SF,20241001,20541020,6520862,False
3618J85S3,DE3557,C,SF,20241001,20541020,1005225,False
3618J85T1,DE3558,C,SF,20241001,20541020,1037304,False
3618J85U8,DE3559,C,SF,20241001,20541020,1106802,False
