"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2024-05-01","'3138XLVD1'","MBS","UMBS MORTPASS 3.5% 03/29","15yr",,,,,"5593.01",,,,,,""
"2024-05-01","'31417WCM1'","MBS","UMBS MORTPASS 4.5% 12/24","15yr",,,,,"5587.35",,,,,,""
"2024-05-01","'31418CCV4'","MBS","UMBS MORTPASS 4.5% 10/46","30yr",,,,,"5585.42",,,,,,""
"2024-05-01","'3620ABG67'","MBS","GNMA I MORTPASS 4% 11/40","30yr",,,,,"5564.36",,,,,,""
"2024-05-01","'31416PW78'","MBS","UMBS MORTPASS 4% 05/24","15yr",,,,,"5551.12",,,,,,""
"2024-05-01","'3140FRQB4'","MBS","UMBS MORTPASS 4.5% 01/47","30yr",,,,,"5521.48",,,,,,""
"2024-05-01","'31417S2F6'","MBS","UMBS MORTPASS 4.5% 11/24","15yr",,,,,"5516.43",,,,,,""
"2024-05-01","'31368HME0'","MBS","UMBS MORTPASS 5% 03/35","30yr",,,,,"5497.30",,,,,,""
"2024-05-01","'36202EAX7'","MBS","GNMA II 4.5% 10/34","30yr",,,,,"5489.37",,,,,,""
"2024-05-01","'3138WEKB4'","MBS","UMBS MORTPASS 3% 04/45","30yr",,,,,"5484.57",,,,,,""
"2024-05-01","'3131XAN31'","MBS","UMBS MORTPASS 3% 06/24","Other",,,,,"5481.22",,,,,,""
"2024-05-01","'36291LML6'","MBS","GNMA I 5.5% 10/35","30yr",,,,,"5475.95",,,,,,""
"2024-05-01","'36212URV5'","MBS","GNMA I 4.5% 11/35","30yr",,,,,"5469.21",,,,,,""
