3618BQDW3, CU6417C, 15146775.00, 3, GNR 2023-065
3618BQEH5, CU6436C, 15097032.00, 3, GNR 2023-065
36179XVR4, MA8724M, 50967773.00, 4, GNR 2023-065
3617XSA75, CJ9030C, 20160888.00, 5, GNR 2023-065
3617FU7E9, CP5393C, 3737638.00, 5, GNR 2023-065
3618A3BH0, CQ0940C, 7863456.00, 5, GNR 2023-065
3618A3BW7, CQ0953C, 1511716.00, 5, GNR 2023-065
3618A3CN6, CQ0977C, 1044596.00, 5, GNR 2023-065
3618A3CT3, CQ0982C, 12188730.00, 5, GNR 2023-065
3618A3CV8, CQ0984C, 1006858.00, 5, GNR 2023-065
3618A3EJ3, CQ1037C, 21942982.00, 5, GNR 2023-065
3618ACQD3, CQ9452C, 1063916.00, 5, GNR 2023-065
3618ACQE1, CQ9453C, 1840411.00, 5, GNR 2023-065
3618ACQK7, CQ9458C, 1076340.00, 5, GNR 2023-065
3618ACRQ3, CQ9495C, 6961170.00, 5, GNR 2023-065
3618ACR59, CQ9508C, 11971785.00, 5, GNR 2023-065
3618ACSM1, CQ9524C, 17119697.00, 5, GNR 2023-065
3618ACSS8, CQ9529C, 1951298.00, 5, GNR 2023-065
3618ACSV1, CQ9532C, 1126669.00, 5, GNR 2023-065
3618ACSW9, CQ9533C, 2625075.00, 5, GNR 2023-065
3618ACSX7, CQ9534C, 2026549.00, 5, GNR 2023-065
3618AGSU4, CR2331C, 1026583.00, 5, GNR 2023-065
3618AGS26, CR2337C, 1590503.00, 5, GNR 2023-065
3618ANVY7, CR7831C, 2337935.00, 5, GNR 2023-065
3618ANV68, CR7837C, 3511353.00, 5, GNR 2023-065
3618APYZ6, CR8828C, 4073283.00, 5, GNR 2023-065
3618APY29, CR8829C, 26060959.00, 5, GNR 2023-065
3618APZZ5, CR8860C, 2411319.00, 5, GNR 2023-065
3618ATJ36, CS1182C, 1645936.00, 5, GNR 2023-065
3618ATJ44, CS1183C, 1627380.00, 5, GNR 2023-065
3618ATL90, CS1252C, 6919677.00, 5, GNR 2023-065
3618AYZ52, CS6164C, 1011700.00, 5, GNR 2023-065
